sandbox	1788480048.7177	1788480048.7499	TOTAL
case	1788480059.2387	-	S4.sanctioned-helper-missing-fails
sandbox	1788480059.2561	1788480059.2886	TOTAL
case	1788480069.6886	-	IP1.interactive-prompt-guard-not-wired-fails
sandbox	1788480069.7037	1788480069.7337	TOTAL
case	1788480080.2713	-	IP2.interactive-prompt-guard-wired-twice-fails
sandbox	1788480080.2852	1788480080.3152	TOTAL
case	1788480090.8241	-	IP3.gutted-interactive-prompt-guard-fails
sandbox	1788480090.8388	1788480090.8708	TOTAL
case	1788480101.2102	-	IP4.shape-table-missing-fails
sandbox	1788480101.2255	1788480101.2559	TOTAL
case	1788480111.6559	-	IP5.dead-guard-that-refuses-everything-fails-despite-matching-hash
case	1788480120.4688	-	IP6.interactive-prompt-guard-suite-passes
case	1788480235.9712	-	IP7.interactive-prompt-mutations-all-load-bearing
sandbox	1788480235.9768	1788480236.0070	TOTAL
case	1788480246.3749	-	IL1.idle-land-gate-not-wired-fails
sandbox	1788480246.3911	1788480246.4237	TOTAL
case	1788480256.6189	-	IL2.missing-analyzer-fails
sandbox	1788480256.6356	1788480256.6692	TOTAL
case	1788480266.9010	-	IL3.replaced-analyzer-fails-on-the-hash
sandbox	1788480266.9152	1788480266.9480	TOTAL
case	1788480277.2671	-	IL4.gutted-gate-fails-despite-matching-hash
sandbox	1788480277.2829	1788480277.3153	TOTAL
case	1788480287.7502	-	IL5.gate-that-refuses-everything-fails-despite-matching-hash
case	1788480295.9141	-	IL6.idle-land-gate-suite-passes
case	1788480445.2718	-	IL7.idle-land-mutations-all-load-bearing
case	1788480450.2041	-	CL1.claim-gate-suite-passes
case	1788480551.6453	-	CL2.claim-gate-mutations-all-load-bearing
case	1788480594.1890	-	RI1.resume-isolation-suite-passes
case	1788480659.0184	-	RI2.resume-isolation-mutations-all-load-bearing
case	1788481041.2113	-	IN2.inflight-notify-mutations-all-load-bearing
case	1788481087.5584	-	WTR1.worktree-removal-mutations-all-load-bearing
sandbox	1788481087.5641	1788481087.5989	TOTAL
case	1788481098.2087	-	MT1.model-tiers-undeclared-fails
case	1788481098.2160	-	MT1b.the-refusal-names-the-blank-declaration
sandbox	1788481098.2305	1788481098.2620	TOTAL
case	1788481108.7221	-	MT2.model-tiers-alias-set-drifts-from-allowed-models-fails
case	1788481108.7294	-	MT2b.the-refusal-names-the-unranked-alias
sandbox	1788481108.7443	1788481108.7762	TOTAL
case	1788481119.0699	-	MT3.doctrine-quotes-a-different-order-fails
case	1788481119.0771	-	MT3b.the-refusal-names-both-orders
sandbox	1788481119.0909	1788481119.1229	TOTAL
case	1788481129.5902	-	MT4.doctrine-says-downgrade-without-quoting-the-data-fails
case	1788481129.5971	-	MT4b.the-refusal-names-the-missing-quotation
sandbox	1788481129.6116	1788481129.6438	TOTAL
case	1788481140.2929	-	MT5.control-declared-and-quoted-passes-the-layer
sandbox	1788481140.3077	1788481140.3401	TOTAL
case	1788481150.9888	-	MC1.no-ceiling-declared-warns-and-does-not-fail
case	1788481150.9958	-	MC1b.the-warning-names-the-missing-declaration
sandbox	1788481151.0578	1788481151.0903	TOTAL
case	1788481161.4241	-	MC2.unrankable-ceiling-fails
case	1788481161.4315	-	MC2b.the-refusal-names-the-unrankable-ceiling
sandbox	1788481161.4465	1788481161.4802	TOTAL
case	1788481171.8707	-	MC3.doctrine-quotes-a-different-ceiling-fails
case	1788481171.8778	-	MC3b.the-refusal-names-both-ceilings
sandbox	1788481171.8919	1788481171.9237	TOTAL
case	1788481182.5605	-	MC4.dead-ceiling-guard-is-caught
case	1788481182.5678	-	MC4b.the-refusal-says-the-guard-did-not-refuse
sandbox	1788481182.5820	1788481182.6140	TOTAL
case	1788481193.3520	-	MC5.control-declared-and-quoted-passes-the-layer
case	1788481311.3173	-	MC6.model-ceiling-mutations-all-load-bearing
case	1788481910.0411	-	WTI1.staffing-gate-mutations-all-load-bearing
case	1788482089.5570	-	MF1.mechanical-findings-mutations-all-load-bearing
case	1788482094.8022	-	SA1.stated-actions-gate-suite-passes
case	1788482257.9695	-	SA2.stated-actions-mutations-all-load-bearing
run	1788482257.9768	-	END
