run	1788475594.0325	-	START
sandbox.sidecars	1788475911.2690	1788475912.1115	gen-sidecars
sandbox	1788475911.0393	1788475912.1115	TOTAL
case	1788475923.0638	-	17.manifest-wrong-hash-fails
sandbox.hooks	1788475923.0795	1788475923.1718	copy-hooks
sandbox.root	1788475923.1718	1788475923.2884	copy-root-scripts
sandbox.settings	1788475923.2884	1788475923.3139	write-config-and-settings
sandbox.sidecars	1788475923.3139	1788475924.2297	gen-sidecars
sandbox	1788475923.0795	1788475924.2297	TOTAL
case	1788475938.6833	-	19.git-main-checkout-passes
case	1788475948.4951	-	20.git-worktree-invocation-passes
case	1788475957.9194	-	21.worktree-probe-targets-main-settings
case	1788475969.0285	-	32.git-untracked-ignored-settings-local-fails
case	1788475980.0524	-	33.git-untracked-not-ignored-warns-rc-0
sandbox.hooks	1788475980.1090	1788475980.2044	copy-hooks
sandbox.root	1788475980.2044	1788475980.3206	copy-root-scripts
sandbox.settings	1788475980.3206	1788475980.3453	write-config-and-settings
sandbox.sidecars	1788475980.3453	1788475981.1907	gen-sidecars
sandbox	1788475980.1090	1788475981.1907	TOTAL
case	1788475981.2413	-	22.install-no-python3-refuses
sandbox.hooks	1788475981.2594	1788475981.3528	copy-hooks
sandbox.root	1788475981.3528	1788475981.4696	copy-root-scripts
sandbox.settings	1788475981.4696	1788475981.4947	write-config-and-settings
sandbox.sidecars	1788475981.4947	1788475982.3490	gen-sidecars
sandbox	1788475981.2594	1788475982.3490	TOTAL
case	1788475982.3987	-	23.probe-no-python3-refuses
sandbox.hooks	1788475982.4156	1788475982.5052	copy-hooks
sandbox.root	1788475982.5052	1788475982.6258	copy-root-scripts
sandbox.settings	1788475982.6258	1788475982.6511	write-config-and-settings
sandbox.sidecars	1788475982.6511	1788475983.5020	gen-sidecars
sandbox	1788475982.4156	1788475983.5020	TOTAL
case	1788475983.6744	-	24.install-missing-env-flag-refuses
sandbox.hooks	1788475983.6923	1788475983.8732	copy-hooks
sandbox.root	1788475983.8732	1788475983.9989	copy-root-scripts
sandbox.settings	1788475983.9989	1788475984.0240	write-config-and-settings
sandbox.sidecars	1788475984.0240	1788475984.8734	gen-sidecars
sandbox	1788475983.6923	1788475984.8734	TOTAL
case	1788475985.0354	-	25.install-missing-baseref-refuses
sandbox.hooks	1788475985.0533	1788475985.1445	copy-hooks
sandbox.root	1788475985.1445	1788475985.2617	copy-root-scripts
sandbox.settings	1788475985.2617	1788475985.2861	write-config-and-settings
sandbox.sidecars	1788475985.2861	1788475986.1365	gen-sidecars
sandbox	1788475985.0533	1788475986.1365	TOTAL
case	1788475997.8396	-	26.probe-catches-env-flag-removed-post-install
sandbox.hooks	1788475997.8569	1788475997.9469	copy-hooks
sandbox.root	1788475997.9469	1788475998.0648	copy-root-scripts
sandbox.settings	1788475998.0648	1788475998.0894	write-config-and-settings
sandbox.sidecars	1788475998.0894	1788475998.9941	gen-sidecars
sandbox	1788475997.8569	1788475998.9941	TOTAL
case	1788476010.8469	-	27.probe-catches-baseref-removed-post-install
sandbox.hooks	1788476010.8657	1788476010.9562	copy-hooks
sandbox.root	1788476010.9562	1788476011.0729	copy-root-scripts
sandbox.settings	1788476011.0729	1788476011.0978	write-config-and-settings
sandbox.sidecars	1788476011.0978	1788476011.9358	gen-sidecars
sandbox	1788476010.8657	1788476011.9358	TOTAL
case	1788476023.7963	-	28.both-keys-correct-probe-passes
sandbox.hooks	1788476023.8190	1788476023.9154	copy-hooks
sandbox.root	1788476023.9154	1788476024.0360	copy-root-scripts
sandbox.settings	1788476024.0360	1788476024.0604	write-config-and-settings
sandbox.sidecars	1788476024.0604	1788476024.8982	gen-sidecars
sandbox	1788476023.8190	1788476024.8982	TOTAL
case	1788476035.4133	-	29.secrets-scanner-not-wired-fails
sandbox.hooks	1788476035.4313	1788476035.5343	copy-hooks
sandbox.root	1788476035.5343	1788476035.6676	copy-root-scripts
sandbox.settings	1788476035.6676	1788476035.6926	write-config-and-settings
sandbox.sidecars	1788476035.6926	1788476036.6595	gen-sidecars
sandbox	1788476035.4313	1788476036.6595	TOTAL
case	1788476047.2308	-	30.secrets-scanner-tampered-fails
sandbox.hooks	1788476047.2490	1788476047.3532	copy-hooks
sandbox.root	1788476047.3532	1788476047.4899	copy-root-scripts
sandbox.settings	1788476047.4899	1788476047.5167	write-config-and-settings
sandbox.sidecars	1788476047.5167	1788476048.4237	gen-sidecars
sandbox	1788476047.2490	1788476048.4237	TOTAL
case	1788476060.3060	-	31.secrets-scanner-broken-then-reinstalled-fails
sandbox.hooks	1788476060.3239	1788476060.4281	copy-hooks
sandbox.root	1788476060.4281	1788476060.5617	copy-root-scripts
sandbox.settings	1788476060.5617	1788476060.5872	write-config-and-settings
sandbox.sidecars	1788476060.5872	1788476061.5074	gen-sidecars
sandbox	1788476060.3239	1788476061.5074	TOTAL
case	1788476072.3021	-	31c.dead-secrets-scanner-fails-layer-K
sandbox.hooks	1788476072.3201	1788476072.4229	copy-hooks
sandbox.root	1788476072.4229	1788476072.5559	copy-root-scripts
sandbox.settings	1788476072.5559	1788476072.5833	write-config-and-settings
sandbox.sidecars	1788476072.5833	1788476073.4851	gen-sidecars
sandbox	1788476072.3201	1788476073.4851	TOTAL
case	1788476084.6655	-	34.definition-drift-pair-intact-probe-rc-0
sandbox.hooks	1788476084.6839	1788476084.7893	copy-hooks
sandbox.root	1788476084.7893	1788476084.9151	copy-root-scripts
sandbox.settings	1788476084.9151	1788476084.9404	write-config-and-settings
sandbox.sidecars	1788476084.9404	1788476085.8435	gen-sidecars
sandbox	1788476084.6839	1788476085.8435	TOTAL
case	1788476096.4396	-	35.definition-snapshotter-unwired-fails-layerP
sandbox.hooks	1788476096.4570	1788476096.5492	copy-hooks
sandbox.root	1788476096.5492	1788476096.6673	copy-root-scripts
sandbox.settings	1788476096.6673	1788476096.6917	write-config-and-settings
sandbox.sidecars	1788476096.6917	1788476097.5494	gen-sidecars
sandbox	1788476096.4570	1788476097.5494	TOTAL
case	1788476107.6847	-	36.definition-drift-guard-unwired-fails
sandbox.hooks	1788476107.6999	1788476107.7926	copy-hooks
sandbox.root	1788476107.7926	1788476107.9095	copy-root-scripts
sandbox.settings	1788476107.9095	1788476107.9345	write-config-and-settings
sandbox.sidecars	1788476107.9345	1788476108.7946	gen-sidecars
sandbox	1788476107.6999	1788476108.7946	TOTAL
case	1788476119.1894	-	37.definition-drift-guard-tampered-fails
sandbox.hooks	1788476119.2054	1788476119.3213	copy-hooks
sandbox.root	1788476119.3213	1788476119.4468	copy-root-scripts
sandbox.settings	1788476119.4468	1788476119.4718	write-config-and-settings
sandbox.sidecars	1788476119.4718	1788476120.3306	gen-sidecars
sandbox	1788476119.2054	1788476120.3306	TOTAL
case	1788476130.9164	-	37b.definition-snapshotter-tampered-fails-layerP
sandbox.hooks	1788476130.9320	1788476131.0296	copy-hooks
sandbox.root	1788476131.0296	1788476131.1661	copy-root-scripts
sandbox.settings	1788476131.1661	1788476131.1913	write-config-and-settings
sandbox.sidecars	1788476131.1913	1788476132.0466	gen-sidecars
sandbox	1788476130.9320	1788476132.0466	TOTAL
case	1788476143.2571	-	38.definition-drift-guard-gutted-fails-layerP-canary
sandbox.hooks	1788476143.2731	1788476143.3765	copy-hooks
sandbox.root	1788476143.3765	1788476143.5061	copy-root-scripts
sandbox.settings	1788476143.5061	1788476143.5317	write-config-and-settings
sandbox.sidecars	1788476143.5317	1788476144.3742	gen-sidecars
sandbox	1788476143.2731	1788476144.3742	TOTAL
case	1788476155.2758	-	38b.definition-drift-guard-overblocks-fails-layerP-canary
sandbox.hooks	1788476155.2934	1788476155.3903	copy-hooks
sandbox.root	1788476155.3903	1788476155.5112	copy-root-scripts
sandbox.settings	1788476155.5112	1788476155.5366	write-config-and-settings
sandbox.sidecars	1788476155.5366	1788476156.3875	gen-sidecars
sandbox	1788476155.2934	1788476156.3875	TOTAL
case	1788476166.8860	-	39.definition-snapshotter-duplicated-fails
case	1788476170.9655	-	40.definition-drift-guard-suite-passes
sandbox.hooks	1788476170.9712	1788476171.0707	copy-hooks
sandbox.root	1788476171.0707	1788476171.1969	copy-root-scripts
sandbox.settings	1788476171.1969	1788476171.2253	write-config-and-settings
sandbox.sidecars	1788476171.2253	1788476172.0935	gen-sidecars
sandbox	1788476170.9712	1788476172.0935	TOTAL
case	1788476183.3363	-	41.reaper-chain-intact-probe-rc-0
sandbox.hooks	1788476183.3556	1788476183.4564	copy-hooks
sandbox.root	1788476183.4564	1788476183.5813	copy-root-scripts
sandbox.settings	1788476183.5813	1788476183.6072	write-config-and-settings
sandbox.sidecars	1788476183.6072	1788476184.4712	gen-sidecars
sandbox	1788476183.3556	1788476184.4712	TOTAL
case	1788476191.5401	-	42.reaper-wrapper-unwired-fails-layerQ
sandbox.hooks	1788476191.5579	1788476191.6562	copy-hooks
sandbox.root	1788476191.6562	1788476191.7801	copy-root-scripts
sandbox.settings	1788476191.7801	1788476191.8053	write-config-and-settings
sandbox.sidecars	1788476191.8053	1788476192.6700	gen-sidecars
sandbox	1788476191.5579	1788476192.6700	TOTAL
case	1788476199.8971	-	43.reaper-wrapper-tampered-fails-layerQ
sandbox.hooks	1788476199.9142	1788476200.0169	copy-hooks
sandbox.root	1788476200.0169	1788476200.1517	copy-root-scripts
sandbox.settings	1788476200.1517	1788476200.1771	write-config-and-settings
sandbox.sidecars	1788476200.1771	1788476201.0891	gen-sidecars
sandbox	1788476199.9142	1788476201.0891	TOTAL
case	1788476209.1050	-	44.reaper-script-tampered-fails-layerQ
sandbox.hooks	1788476209.1226	1788476209.2320	copy-hooks
sandbox.root	1788476209.2320	1788476209.3636	copy-root-scripts
sandbox.settings	1788476209.3636	1788476209.3903	write-config-and-settings
sandbox.sidecars	1788476209.3903	1788476210.3100	gen-sidecars
sandbox	1788476209.1226	1788476210.3100	TOTAL
case	1788476217.4076	-	44b.reaper-sidecar-missing-fails-layerQ
sandbox.hooks	1788476217.4258	1788476217.5194	copy-hooks
sandbox.root	1788476217.5194	1788476217.6377	copy-root-scripts
sandbox.settings	1788476217.6377	1788476217.6636	write-config-and-settings
sandbox.sidecars	1788476217.6636	1788476218.5237	gen-sidecars
sandbox	1788476217.4258	1788476218.5237	TOTAL
case	1788476227.2640	-	45.reaper-gutted-fails-layerQ-canary
sandbox.hooks	1788476227.2824	1788476227.3743	copy-hooks
sandbox.root	1788476227.3743	1788476227.4909	copy-root-scripts
sandbox.settings	1788476227.4909	1788476227.5159	write-config-and-settings
sandbox.sidecars	1788476227.5159	1788476228.3762	gen-sidecars
sandbox	1788476227.2824	1788476228.3762	TOTAL
case	1788476237.0960	-	45c.reaper-overreaches-fails-layerQ-canary
sandbox.hooks	1788476237.1130	1788476237.2044	copy-hooks
sandbox.root	1788476237.2044	1788476237.3206	copy-root-scripts
sandbox.settings	1788476237.3206	1788476237.3455	write-config-and-settings
sandbox.sidecars	1788476237.3455	1788476238.1914	gen-sidecars
sandbox	1788476237.1130	1788476238.1914	TOTAL
case	1788476245.1987	-	46.reaper-wrapper-duplicated-fails
sandbox.hooks	1788476245.2147	1788476245.3075	copy-hooks
sandbox.root	1788476245.3075	1788476245.4254	copy-root-scripts
sandbox.settings	1788476245.4254	1788476245.4508	write-config-and-settings
sandbox.sidecars	1788476245.4508	1788476246.3572	gen-sidecars
sandbox	1788476245.2147	1788476246.3572	TOTAL
case	1788476258.2240	-	47b.post-install-probe-passes
case	1788476267.6334	-	48.reaper-wrapper-suite-passes
sandbox.hooks	1788476267.6400	1788476267.7480	copy-hooks
sandbox.root	1788476267.7480	1788476267.9099	copy-root-scripts
sandbox.settings	1788476267.9099	1788476267.9360	write-config-and-settings
sandbox.sidecars	1788476267.9360	1788476268.8202	gen-sidecars
sandbox	1788476267.6400	1788476268.8202	TOTAL
case	1788476276.0938	-	49.agent-finish-trigger-revived-fails-layerQ
sandbox.hooks	1788476276.1128	1788476276.2109	copy-hooks
sandbox.root	1788476276.2109	1788476276.3406	copy-root-scripts
sandbox.settings	1788476276.3406	1788476276.3662	write-config-and-settings
sandbox.sidecars	1788476276.3662	1788476277.2329	gen-sidecars
sandbox	1788476276.1128	1788476277.2329	TOTAL
case	1788476286.4080	-	50.wrapper-with-execute-fails-layerQ
sandbox.hooks	1788476286.4279	1788476286.5402	copy-hooks
sandbox.root	1788476286.5402	1788476286.6660	copy-root-scripts
sandbox.settings	1788476286.6660	1788476286.6908	write-config-and-settings
sandbox.sidecars	1788476286.6908	1788476287.5530	gen-sidecars
sandbox	1788476286.4279	1788476287.5530	TOTAL
case	1788476296.2976	-	50c.wrapper-without-reconciler-fails-layerQ
sandbox.hooks	1788476296.3160	1788476296.4157	copy-hooks
sandbox.root	1788476296.4157	1788476296.5438	copy-root-scripts
sandbox.settings	1788476296.5438	1788476296.5718	write-config-and-settings
sandbox.sidecars	1788476296.5718	1788476297.4337	gen-sidecars
sandbox	1788476296.3160	1788476297.4337	TOTAL
case	1788476308.7440	-	51.owner-liveness-gate-removed-fails-layerQ4
sandbox.hooks	1788476308.7697	1788476308.8791	copy-hooks
sandbox.root	1788476308.8791	1788476309.0221	copy-root-scripts
sandbox.settings	1788476309.0221	1788476309.0490	write-config-and-settings
sandbox.sidecars	1788476309.0490	1788476309.9691	gen-sidecars
sandbox	1788476308.7697	1788476309.9691	TOTAL
case	1788476321.4727	-	52.discovery-removed-fails-layerQ4
case	1788476364.2049	-	53.reaper-scope-and-safety-suite-passes
case	1788476411.2281	-	54.reconciler-suite-passes
sandbox.hooks	1788476411.2342	1788476411.3379	copy-hooks
sandbox.root	1788476411.3379	1788476411.4676	copy-root-scripts
sandbox.settings	1788476411.4676	1788476411.4942	write-config-and-settings
sandbox.sidecars	1788476411.4942	1788476412.3511	gen-sidecars
sandbox	1788476411.2342	1788476412.3511	TOTAL
case	1788476423.0366	-	S1.worktree-removal-guard-not-wired-fails
sandbox.hooks	1788476423.0540	1788476423.1519	copy-hooks
sandbox.root	1788476423.1519	1788476423.2742	copy-root-scripts
sandbox.settings	1788476423.2742	1788476423.2996	write-config-and-settings
sandbox.sidecars	1788476423.2996	1788476424.1572	gen-sidecars
sandbox	1788476423.0540	1788476424.1572	TOTAL
case	1788476434.8743	-	S2.worktree-removal-guard-wired-twice-fails
sandbox.hooks	1788476434.8904	1788476434.9878	copy-hooks
sandbox.root	1788476434.9878	1788476435.1216	copy-root-scripts
sandbox.settings	1788476435.1216	1788476435.1465	write-config-and-settings
sandbox.sidecars	1788476435.1465	1788476435.9958	gen-sidecars
sandbox	1788476434.8904	1788476435.9958	TOTAL
case	1788476446.9703	-	S3.gutted-worktree-removal-guard-fails
sandbox.hooks	1788476446.9859	1788476447.0838	copy-hooks
sandbox.root	1788476447.0838	1788476447.2064	copy-root-scripts
sandbox.settings	1788476447.2064	1788476447.2310	write-config-and-settings
sandbox.sidecars	1788476447.2310	1788476448.0957	gen-sidecars
sandbox	1788476446.9859	1788476448.0957	TOTAL
