run	1788482258.0491	-	START
sandbox	1788482842.0810	1788482843.1499	TOTAL
case	1788482849.7683	-	43.reaper-wrapper-tampered-fails-layerQ
sandbox.hooks	1788482849.7834	1788482849.8722	copy-hooks
sandbox.root	1788482849.8722	1788482849.9811	copy-root-scripts
sandbox.settings	1788482849.9811	1788482850.0050	write-config-and-settings
sandbox.sidecars	1788482850.0050	1788482850.8281	gen-sidecars
sandbox	1788482849.7834	1788482850.8281	TOTAL
case	1788482857.6223	-	44.reaper-script-tampered-fails-layerQ
sandbox.hooks	1788482857.6377	1788482857.7269	copy-hooks
sandbox.root	1788482857.7269	1788482857.8373	copy-root-scripts
sandbox.settings	1788482857.8373	1788482857.8616	write-config-and-settings
sandbox.sidecars	1788482857.8616	1788482858.7020	gen-sidecars
sandbox	1788482857.6377	1788482858.7020	TOTAL
case	1788482865.5674	-	44b.reaper-sidecar-missing-fails-layerQ
sandbox.hooks	1788482865.5850	1788482865.6743	copy-hooks
sandbox.root	1788482865.6743	1788482865.7915	copy-root-scripts
sandbox.settings	1788482865.7915	1788482865.8160	write-config-and-settings
sandbox.sidecars	1788482865.8160	1788482866.6500	gen-sidecars
sandbox	1788482865.5850	1788482866.6500	TOTAL
case	1788482875.5929	-	45.reaper-gutted-fails-layerQ-canary
sandbox.hooks	1788482875.6110	1788482875.7027	copy-hooks
sandbox.root	1788482875.7027	1788482875.8158	copy-root-scripts
sandbox.settings	1788482875.8158	1788482875.8399	write-config-and-settings
sandbox.sidecars	1788482875.8399	1788482876.6816	gen-sidecars
sandbox	1788482875.6110	1788482876.6816	TOTAL
